time, Quad.IMU.AX
1.580018,-0.204515
1.585018,-0.655761
1.590018,-0.060876
1.595019,-0.171178
1.600019,-0.779723
1.605019,0.006618
1.610019,0.007876
1.615019,0.103817
1.620020,-1.092944
1.625020,-0.143646
1.630020,-0.454856
1.635020,0.633684
1.640021,0.448373
1.645021,-0.241937
1.650021,-0.558105
1.655021,-0.195394
1.660022,0.202810
1.665022,0.441968
1.670022,0.722698
1.675022,0.655899
1.680022,0.703911
1.685023,0.482871
1.690023,0.640777
1.695023,-0.017153
1.700023,0.044910
1.705024,-0.679113
1.710024,0.209050
1.715024,-0.110023
1.720024,-0.825923
1.725025,-0.121623
1.730025,-0.720487
1.735025,0.079623
1.740025,-0.013796
1.745026,0.361001
1.750026,0.125005
1.755026,-0.359252
1.760026,0.194300
1.765026,-0.047504
1.770027,0.249297
1.775027,-0.690760
1.780027,0.015725
1.785027,0.166583
1.790028,0.262108
1.795028,-0.214502
1.800028,0.452379
1.805028,-0.563169
1.810029,0.033509
1.815029,0.336873
1.820029,0.536992
1.825029,-0.382148
1.830029,0.093240
1.835030,-0.380855
1.840030,-0.559900
1.845030,0.488087
1.850030,0.296247
1.855031,-0.196580
1.860031,-0.779370
1.865031,-0.279173
1.870031,0.534043
1.875032,0.357768
1.880032,0.071212
1.885032,-0.230632
1.890032,-0.843498
1.895033,0.068590
1.900033,-0.178461
1.905033,-1.207653
1.910033,0.384404
1.915033,0.071593
1.920034,-0.616499
1.925034,0.087129
1.930034,0.610012
1.935034,-0.076070
1.940035,0.197445
1.945035,-0.059446
1.950035,0.407747
1.955035,-0.108138
1.960036,-0.434506
1.965036,-0.623792
1.970036,0.498369
1.975036,-0.446284
1.980036,-0.268612
1.985037,0.341175
1.990037,-0.376787
1.995037,0.344310
2.000037,0.126321
2.005037,-0.481015
2.010037,0.287183
2.015036,0.139209
2.020036,0.154451
2.025036,0.161113
2.030035,-0.417361
2.035035,0.568958
2.040035,0.345265
2.045034,-0.494829
2.050034,0.058827
2.055033,0.828692
2.060033,-0.209489
2.065033,-0.330454
2.070032,-0.009249
2.075032,-0.266868
2.080032,-0.398704
2.085031,0.587453
2.090031,0.092895
2.095031,-0.553068
2.100030,0.317752
2.105030,-0.138335
2.110029,0.923114
2.115029,-0.674368
2.120029,-0.256961
2.125028,0.036567
2.130028,0.786927
2.135028,-0.290578
2.140027,-1.841419
2.145027,0.355957
2.150027,-0.197521
2.155026,0.188185
2.160026,0.532085
2.165025,-0.272812
2.170025,-0.666281
2.175025,-0.402118
2.180024,0.213644
2.185024,0.499325
2.190024,-0.028652
2.195023,0.344095
2.200023,-0.499439
2.205023,0.113470
2.210022,0.750591
2.215022,1.285403
2.220021,-0.254356
2.225021,-0.576957
2.230021,0.392612
2.235020,-0.005428
2.240020,-0.013102
2.245020,-0.556349
2.250019,-0.701294
2.255019,-0.954130
2.260019,-1.357376
2.265018,-0.200103
2.270018,0.176240
2.275017,0.303129
2.280017,0.740192
2.285017,-0.246080
2.290016,0.045858
2.295016,-0.726504
2.300016,0.901547
2.305015,0.050744
2.310015,0.776657
2.315015,0.348550
2.320014,0.979700
2.325014,0.160139
2.330014,-0.098868
2.335013,-0.178124
2.340013,-0.520444
2.345012,0.106113
2.350012,0.689232
2.355012,-0.422543
2.360011,0.266425
2.365011,-0.781777
2.370011,0.682822
2.375010,0.181980
2.380010,-0.093617
2.385010,-1.260135
2.390009,-0.393477
2.395009,0.000587
2.400008,0.086318
2.405008,-0.069607
2.410008,-0.302361
2.415007,-0.137605
2.420007,0.520909
2.425007,0.302084
2.430006,0.570009
2.435006,-0.400498
2.440006,-0.189996
2.445005,0.195499
2.450005,-0.089752
2.455004,0.670067
2.460004,0.430924
2.465004,-0.902762
2.470003,-0.626416
2.475003,-0.389287
2.480003,0.235151
2.485002,0.126281
2.490002,-0.886897
2.495002,-0.181233
2.500001,0.078280
2.505001,0.307059
2.510000,0.021229
2.515000,-0.364593
2.520000,0.020018
2.524999,-0.439195
2.529999,0.266852
2.534999,-0.595880
2.539998,0.127037
2.544998,0.105814
2.549998,-0.263481
2.554997,-0.308318
2.559997,-0.149694
2.564996,-0.145504
2.569996,-0.983410
2.574996,0.103803
2.579995,-0.323611
2.584995,0.266786
2.589995,0.412349
2.594994,-0.858179
2.599994,0.478241
2.604994,0.724320
2.609993,0.483730
2.614993,1.233042
2.619992,-0.179389
2.624992,0.800962
2.629992,-0.385927
2.634991,-0.589610
2.639991,0.846918
2.644991,0.611503
2.649990,-0.012520
2.654990,-0.213861
2.659990,0.355402
2.664989,0.273475
2.669989,-0.136024
2.674989,0.709116
2.679988,-0.739033
2.684988,-0.674437
2.689987,0.285996
2.694987,-0.582637
2.699987,-0.026431
2.704986,-0.570763
2.709986,0.285075
2.714986,-0.742888
2.719985,0.448804
2.724985,-0.315376
2.729985,0.636525
2.734984,0.461513
2.739984,-0.038669
2.744983,-0.519858
2.749983,-0.021088
2.754983,0.457273
2.759982,-0.542164
2.764982,0.066856
2.769982,0.237517
2.774981,0.284419
2.779981,0.642242
2.784981,0.500474
2.789980,-0.201144
2.794980,-0.110563
2.799979,0.032102
2.804979,-0.179670
2.809979,-0.371192
2.814978,0.065564
2.819978,0.161774
2.824978,-0.490259
2.829977,0.762383
2.834977,0.256781
2.839977,0.564357
2.844976,0.810900
2.849976,-0.447151
2.854975,-0.148147
2.859975,-0.058403
2.864975,-0.938556
2.869974,0.699157
2.874974,-0.498325
2.879974,0.150910
2.884973,0.323172
2.889973,-0.289048
2.894973,-0.191968
2.899972,0.551470
2.904972,-0.051923
2.909971,0.753910
2.914971,0.238638
2.919971,0.254766
2.924970,0.164637
2.929970,-0.625567
